Date,DaysToNextTradingDay,DayBeforeHoliday,Volume,Return,OvernightReturn,IntradayTradingRange,BBBBondMargin,CorporateBondMargin,Dispersion
2017-04-21,3,No,1390315357,-0.002590075301891713,-0.001036647596844351,0.014798047973775734,0.6499999999999999,0.28000000000000025,0.009413323460327437
2017-04-24,1,No,1560831893.75,0.010207936713847942,0.011748306631262233,0.015807431875781857,0.6499999999999999,0.27,0.017734310825011108
2017-04-25,1,No,1488927585.5,0.004186645672358683,0.0018813913381116175,0.016441647983021015,0.6400000000000001,0.27,0.017016598750838163
2017-04-26,1,No,1362736930.5,5.530371269769994e-4,-1.4167947491157263e-4,0.017714123516600174,0.6400000000000001,0.27,0.012798374481836525
2017-04-27,1,No,1336230032.5,1.7188512521844646e-4,9.648342709446099e-4,0.01804421519687885,0.6299999999999999,0.2599999999999998,0.014815825922455051
2017-04-28,3,No,1359274867.5,-0.00525497941342643,7.232707050776742e-4,0.017798231694961697,0.6299999999999999,0.26000000000000023,0.013259170280803735
2017-05-01,1,No,1115001535.75,-0.001514793486044004,0.001853579635995094,0.015106956722578956,0.6300000000000003,0.27,0.010281817976984261
2017-05-02,1,No,1309847529.75,7.79390134083399e-4,0.0015897523010202433,0.016562407383629022,0.6299999999999999,0.2799999999999998,0.013343204240207887
2017-05-03,1,No,1271263603.5,-0.0014570852797296835,-0.0018098647550296816,0.016319554544907532,0.6399999999999997,0.2899999999999996,0.011777159137114636
2017-05-04,1,No,1353805738.25,-5.904139750104283e-4,6.732832263653938e-4,0.018117649360102083,0.6400000000000001,0.28000000000000025,0.015660097634719428
2017-05-05,3,No,1078616867.75,0.00659130867810605,0.0023268316316123394,0.014420374206385903,0.6400000000000001,0.2799999999999998,0.011459058533592534
2017-05-08,1,No,1085369665.75,-0.0012903514155940328,1.8198266492667933e-4,0.013615939699915786,0.6299999999999999,0.2799999999999998,0.012328877763634102
2017-05-09,1,No,1094381361.25,-0.0015961336063436715,4.171396393318785e-4,0.01471742637601581,0.6299999999999999,0.27,0.011414910199257833
2017-05-10,1,No,1149059734.75,0.0036476132725287713,4.791322484836556e-4,0.014335379873629886,0.6299999999999999,0.27,0.012988364923074298
2017-05-11,1,No,1223356247.25,-0.0044299061879548825,-0.002554068832100893,0.016769025280187935,0.6200000000000001,0.27,0.015781776388311467
2017-05-12,3,No,1079846089.25,-0.005098755253469871,-0.0017276962503851752,0.013458039227209208,0.6199999999999997,0.2699999999999996,0.010908668750404393
2017-05-15,1,No,1131718075.5,0.005475321943577628,0.0033261436269772047,0.013774414235202023,0.6099999999999999,0.2599999999999998,0.008228287941478596
2017-05-16,1,No,1161481409.75,-0.0030463451043132197,0.001280149760212038,0.014683551982154177,0.6099999999999999,0.26000000000000023,0.010171949085116365
2017-05-17,1,No,1639911262.75,-0.015099893567473061,-0.007686706078546319,0.0204268156147319,0.6099999999999999,0.26000000000000023,0.017446450159623497
2017-05-18,1,No,1427447221.5,0.0022488091572607388,-0.001268307370097681,0.019397384160783557,0.6099999999999999,0.27,0.010399892000766587
2017-05-19,3,No,1370371326.5,0.008742605990989671,0.003780240508356614,0.017896417141217816,0.6099999999999999,0.2599999999999998,0.01210627373957943
2017-05-22,1,No,1125949261,0.0050805396733815495,0.0032655540561006622,0.01485051869091245,0.6099999999999999,0.2599999999999998,0.009214560948659934
2017-05-23,1,No,1073992622,9.032407270031596e-4,8.054948773942711e-4,0.015406983132964002,0.6000000000000001,0.26000000000000023,0.010857935474497793
2017-05-24,1,No,1109464037.75,0.0011098742184256062,6.477206810049519e-4,0.014553836772583865,0.5999999999999996,0.25,0.011812828848247102
2017-05-25,1,No,1251852600.5,0.0026508837528016298,0.0026215413067943285,0.018334807997625376,0.6000000000000001,0.25,0.020178361367222487
